FREQ,Frequency,BORROWERS_CTY,Borrowers' country,DSR_BORROWERS,Borrowers,COLLECTION,Collection Indicator,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit Multiplier,DECIMALS,Decimals,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_CONF,Observation confidentiality,OBS_PRE_BREAK,OBS_STATUS,Observation Status
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,1999-Q3,21.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,1999-Q4,20.6,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2000-Q1,20.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2000-Q2,20.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2000-Q3,20.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2000-Q4,20.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2001-Q1,20.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2001-Q2,19.6,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2001-Q3,19.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2001-Q4,18.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2002-Q1,18.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2002-Q2,18.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2002-Q3,18.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2002-Q4,17.7,F,Free,,A,Normal value
